time,open,high,low,close
2025-05-23T05:10:00+05:30,111318.21,111375,111288.96,111368.97
2025-05-23T05:15:00+05:30,111368.98,111585.73,111349.37,111580
2025-05-23T05:20:00+05:30,111580,111681.82,111580,111666.49
2025-05-23T05:25:00+05:30,111666.49,111717.34,111625.91,111696.21
2025-05-23T05:30:00+05:30,111696.22,111705.97,111464.25,111515.87
2025-05-23T05:35:00+05:30,111515.87,111613.35,111460.2,111555.66
2025-05-23T05:40:00+05:30,111555.65,111800,111555.65,111783.37
2025-05-23T05:45:00+05:30,111783.37,111783.38,111614.56,111620.27
2025-05-23T05:50:00+05:30,111620.28,111739.06,111460.02,111599.99
2025-05-23T05:55:00+05:30,111599.99,111630.21,111457.96,111478.26
2025-05-23T06:00:00+05:30,111478.26,111505.24,111382.97,111415.86
2025-05-23T06:05:00+05:30,111415.86,111523.81,111382.98,111458
2025-05-23T06:10:00+05:30,111458,111590.91,111434.78,111498.2
2025-05-23T06:15:00+05:30,111498.2,111704.14,111456,111696.43
2025-05-23T06:20:00+05:30,111696.44,111750,111573.45,111596.23
2025-05-23T06:25:00+05:30,111596.23,111630.03,111511,111613.58
2025-05-23T06:30:00+05:30,111613.58,111739.14,111454.54,111454.54
2025-05-23T06:35:00+05:30,111454.54,111454.54,111247.76,111352.73
2025-05-23T06:40:00+05:30,111352.73,111434.79,111340.15,111353.01
2025-05-23T06:45:00+05:30,111353,111363.64,111260.86,111292.46
2025-05-23T06:50:00+05:30,111292.47,111360,111250.46,111296.51
2025-05-23T06:55:00+05:30,111296.52,111349.74,111201.86,111287.77
2025-05-23T07:00:00+05:30,111287.76,111521.74,111276.63,111396.15
2025-05-23T07:05:00+05:30,111396.15,111454.55,111323.16,111385
2025-05-23T07:10:00+05:30,111385,111385,111227.27,111253.07
2025-05-23T07:15:00+05:30,111253.07,111360,111253.07,111323.39
2025-05-23T07:20:00+05:30,111323.39,111460,111318.97,111367.92
2025-05-23T07:25:00+05:30,111367.92,111367.92,111282.51,111327.69
2025-05-23T07:30:00+05:30,111327.69,111454.55,111298.35,111454.54
2025-05-23T07:35:00+05:30,111454.54,111454.55,111381.17,111428.58
2025-05-23T07:40:00+05:30,111428.58,111491.15,111391.79,111477.49
2025-05-23T07:45:00+05:30,111477.49,111579.98,111412.98,111567.73
